ts_code,symbol,name,industry,list_date
600761.SH,600761,安徽合力,工程机械,19961009
600763.SH,600763,通策医疗,医疗保健,19961030
600764.SH,600764,中国海防,船舶,19961104
600765.SH,600765,中航重机,航空,19961106
600768.SH,600768,宁波富邦,铝,19961111
600769.SH,600769,祥龙电业,水务,19961101
600770.SH,600770,综艺股份,综合类,19961120
600771.SH,600771,广誉远,中成药,19961105
600773.SH,600773,西藏城投,区域地产,19961108
600774.SH,600774,汉商集团,化学制药,19961108
600775.SH,600775,南京熊猫,通信设备,19961118
600776.SH,600776,东方通信,通信设备,19961126
600777.SH,600777,*ST新潮,石油开采,19961121
600778.SH,600778,友好集团,百货,19961203
